run_accession;fastq_ftp
SRR1518294;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518294/SRR1518294.fastq.gz
SRR1518670;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518670/SRR1518670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518670/SRR1518670_2.fastq.gz"
SRR1518671;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518671/SRR1518671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518671/SRR1518671_2.fastq.gz"
SRR1518672;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518672/SRR1518672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518672/SRR1518672_2.fastq.gz"
SRR1518673;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518673/SRR1518673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518673/SRR1518673_2.fastq.gz"
SRR1518674;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518674/SRR1518674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518674/SRR1518674_2.fastq.gz"
SRR1518675;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518675/SRR1518675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518675/SRR1518675_2.fastq.gz"
SRR1518676;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518676/SRR1518676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518676/SRR1518676_2.fastq.gz"
SRR1518677;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518677/SRR1518677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518677/SRR1518677_2.fastq.gz"
SRR1518678;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518678/SRR1518678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518678/SRR1518678_2.fastq.gz"
SRR1518679;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518679/SRR1518679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518679/SRR1518679_2.fastq.gz"
SRR1518680;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518680/SRR1518680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518680/SRR1518680_2.fastq.gz"
SRR1518681;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518681/SRR1518681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518681/SRR1518681_2.fastq.gz"
SRR1518682;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518682/SRR1518682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518682/SRR1518682_2.fastq.gz"
SRR1518683;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518683/SRR1518683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518683/SRR1518683_2.fastq.gz"
SRR1518684;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518684/SRR1518684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518684/SRR1518684_2.fastq.gz"
SRR1518685;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518685/SRR1518685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518685/SRR1518685_2.fastq.gz"
SRR1518686;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518686/SRR1518686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518686/SRR1518686_2.fastq.gz"
SRR1518687;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518687/SRR1518687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518687/SRR1518687_2.fastq.gz"
SRR1518688;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518688/SRR1518688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518688/SRR1518688_2.fastq.gz"
SRR1518689;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518689/SRR1518689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518689/SRR1518689_2.fastq.gz"
SRR1518690;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518690/SRR1518690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518690/SRR1518690_2.fastq.gz"
SRR1518691;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518691/SRR1518691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518691/SRR1518691_2.fastq.gz"
SRR1518692;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518692/SRR1518692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518692/SRR1518692_2.fastq.gz"
SRR1518693;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518693/SRR1518693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518693/SRR1518693_2.fastq.gz"
SRR1518694;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518694/SRR1518694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518694/SRR1518694_2.fastq.gz"
SRR1518695;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518695/SRR1518695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518695/SRR1518695_2.fastq.gz"
SRR1518696;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518696/SRR1518696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518696/SRR1518696_2.fastq.gz"
SRR1518697;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518697/SRR1518697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518697/SRR1518697_2.fastq.gz"
SRR1518698;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518698/SRR1518698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1518698/SRR1518698_2.fastq.gz"
SRR1518699;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518699/SRR1518699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1518699/SRR1518699_2.fastq.gz"
SRR1518700;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518700/SRR1518700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518700/SRR1518700_2.fastq.gz"
SRR1518701;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518701/SRR1518701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518701/SRR1518701_2.fastq.gz"
SRR1518702;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518702/SRR1518702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518702/SRR1518702_2.fastq.gz"
SRR1518703;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518703/SRR1518703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1518703/SRR1518703_2.fastq.gz"
SRR1518704;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518704/SRR1518704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1518704/SRR1518704_2.fastq.gz"
SRR1518705;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518705/SRR1518705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1518705/SRR1518705_2.fastq.gz"
SRR1518706;"ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518706/SRR1518706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518706/SRR1518706_2.fastq.gz"
